product_id,product_title,rating,total_reviews,price,top_reviews
itm6ac6485515ae4,"Apple iPhone 15 (Black, 128 GB)",4.6,"9,414","₹64,900","5 Fabulous! Awesome 😎 READ MORE Thakur Surya Pratap Singh Certified Buyer , Hanumana 7 months ago 848 190 Permalink Report Abuse || 5 Worth every penny Just go for it.Amazing one.Beautiful camera with super fast processor READ MORE bijaya mohanty Certified Buyer , Baleshwar May, 2024 4410 1087 Permalink Report Abuse || 5 Excellent Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life. 60Hz display is a dealbreaker for some.Its not much noticeable. Thank u Flipkart for the best deal and quick delivery. READ MORE Arunji Govindaraju Certified Buyer , Chennai Feb, 2024 703 157 Permalink Report Abuse || 5 Awesome Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15. READ MORE Nikhil Kumar Certified Buyer , Meerut Division Jan, 2024 1921 462 Permalink Report Abuse || 5 Fabulous! So beautiful, so elegant, just a vowww😍❤️ READ MORE Akshay Meena Certified Buyer , Jaipur Nov, 2023 953 221 Permalink Report Abuse || 5 Worth every penny Awesome photography experience. Battery backup is good . Display is much better than 14 version. READ MORE Flipkart Customer Certified Buyer , Aizawl Jan, 2024 1483 355 Permalink Report Abuse"
itmbf14ef54f645d,"Apple iPhone 15 (Blue, 128 GB)",4.6,"9,414","₹64,900","5 Fabulous! Awesome 😎 READ MORE Thakur Surya Pratap Singh Certified Buyer , Hanumana 7 months ago 848 190 Permalink Report Abuse || 5 Worth every penny Just go for it.Amazing one.Beautiful camera with super fast processor READ MORE bijaya mohanty Certified Buyer , Baleshwar May, 2024 4410 1087 Permalink Report Abuse || 5 Excellent Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life. 60Hz display is a dealbreaker for some.Its not much noticeable. Thank u Flipkart for the best deal and quick delivery. READ MORE Arunji Govindaraju Certified Buyer , Chennai Feb, 2024 703 157 Permalink Report Abuse || 5 Awesome Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15. READ MORE Nikhil Kumar Certified Buyer , Meerut Division Jan, 2024 1921 462 Permalink Report Abuse || 5 Fabulous! So beautiful, so elegant, just a vowww😍❤️ READ MORE Akshay Meena Certified Buyer , Jaipur Nov, 2023 953 221 Permalink Report Abuse || 5 Worth every penny Awesome photography experience. Battery backup is good . Display is much better than 14 version. READ MORE Flipkart Customer Certified Buyer , Aizawl Jan, 2024 1483 355 Permalink Report Abuse"
itm7579ed94ca647,"Apple iPhone 15 (Pink, 128 GB)",4.6,"9,414","₹64,900","5 Fabulous! Awesome 😎 READ MORE Thakur Surya Pratap Singh Certified Buyer , Hanumana 7 months ago 848 190 Permalink Report Abuse || 5 Worth every penny Just go for it.Amazing one.Beautiful camera with super fast processor READ MORE bijaya mohanty Certified Buyer , Baleshwar May, 2024 4410 1087 Permalink Report Abuse || 5 Excellent Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life. 60Hz display is a dealbreaker for some.Its not much noticeable. Thank u Flipkart for the best deal and quick delivery. READ MORE Arunji Govindaraju Certified Buyer , Chennai Feb, 2024 703 157 Permalink Report Abuse || 5 Awesome Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15. READ MORE Nikhil Kumar Certified Buyer , Meerut Division Jan, 2024 1921 462 Permalink Report Abuse || 5 Fabulous! So beautiful, so elegant, just a vowww😍❤️ READ MORE Akshay Meena Certified Buyer , Jaipur Nov, 2023 953 221 Permalink Report Abuse || 5 Worth every penny Awesome photography experience. Battery backup is good . Display is much better than 14 version. READ MORE Flipkart Customer Certified Buyer , Aizawl Jan, 2024 1483 355 Permalink Report Abuse"
itm235cd318bde73,"Apple iPhone 15 (Green, 128 GB)",4.6,"9,414","₹64,900","5 Fabulous! Awesome 😎 READ MORE Thakur Surya Pratap Singh Certified Buyer , Hanumana 7 months ago 848 190 Permalink Report Abuse || 5 Worth every penny Just go for it.Amazing one.Beautiful camera with super fast processor READ MORE bijaya mohanty Certified Buyer , Baleshwar May, 2024 4410 1087 Permalink Report Abuse || 5 Excellent Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life. 60Hz display is a dealbreaker for some.Its not much noticeable. Thank u Flipkart for the best deal and quick delivery. READ MORE Arunji Govindaraju Certified Buyer , Chennai Feb, 2024 703 157 Permalink Report Abuse || 5 Awesome Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15. READ MORE Nikhil Kumar Certified Buyer , Meerut Division Jan, 2024 1921 462 Permalink Report Abuse || 5 Fabulous! So beautiful, so elegant, just a vowww😍❤️ READ MORE Akshay Meena Certified Buyer , Jaipur Nov, 2023 953 221 Permalink Report Abuse || 5 Worth every penny Awesome photography experience. Battery backup is good . Display is much better than 14 version. READ MORE Flipkart Customer Certified Buyer , Aizawl Jan, 2024 1483 355 Permalink Report Abuse"
itmbf605949ab673,Primebook 2 Neo (2025) in-Built AI MediaTek Helio G99 (MT8781) - (6 GB/128 GB/Android 15) PBG9911128#B...,4.6,21,"₹15,990","5 Simply awesome Excellent product at the reasonable price. READ MORE Flipkart Customer Certified Buyer , Hyderabad 1 month ago 21 7 Permalink Report Abuse || 5 Super! Simply amazing!! READ MORE Gaurav Shukla Certified Buyer , Auraiya 24 days ago 11 2 Permalink Report Abuse || 5 Awesome It is working Excellent. READ MORE subramanyam P Certified Buyer , Chittoor District 13 days ago 2 0 Permalink Report Abuse || 5 Mind-blowing purchase Very Good product. READ MORE Vijay Marathe Certified Buyer , Pune 22 days ago 2 0 Permalink Report Abuse || 5 Perfect product! Value for money perfomance is very good READ MORE Mehulkumar Amin Certified Buyer , Nadiad 23 days ago 2 0 Permalink Report Abuse || 5 Highly recommended Great product READ MORE Karan Guptq Certified Buyer , Ghosi 29 days ago 2 0 Permalink Report Abuse"
itm672bf7685863c,DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 0IN3535100801RINS1O / ODC1525...,4.3,40,"₹40,990","5 Worth every penny Value for money. Worth every penny. Go for it. Microsoft 365 pre installation available with one year subscription. Great display Battery life 4-5 hours Great for office work Thanks to the delivery partner flipkart for the safe delivery READ MORE shashi  kumari Certified Buyer , Kataiya 4 months ago 57 12 Permalink Report Abuse || 5 Mind-blowing purchase The performance is crazy for multitasking and gaming I got littrelly constant 80 fps on gta 5 the beast in law budget must buy 👍🏼 READ MORE Pulkit Gola Certified Buyer , Jaspur 2 months ago 15 1 Permalink Report Abuse || 5 Mind-blowing purchase Very nice laptop, value for money. READ MORE Flipkart Customer Certified Buyer , Kota 4 months ago 38 10 Permalink Report Abuse || 5 Excellent Brilliant laptop READ MORE sanjeev sharma Certified Buyer , Chennai 4 months ago 29 9 Permalink Report Abuse || 5 Great product Laptop is very good I am fully satisfied 😊 READ MORE Akash Singh Certified Buyer , Bikramganj 3 months ago 5 0 Permalink Report Abuse || 4 Nice All Good but power button is slightly off centered READ MORE DEEPIKA JHA Certified Buyer , Saharsa 1 month ago 4 0 Permalink Report Abuse"
itmf0fc8e8bdc072,DELL 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 3520 Thin and Light Laptop,4.2,66,"₹32,990","5 Fabulous! For a student [upsc] this device is more than enough. Sound quality is very high. Display is perfect due to 120 hz. This device is not for gamers and multiple taskers. Don't see negative review. It's budget friendly laptop with trust of dell. Just go for it. Good Luck.... READ MORE Shubham Singh Certified Buyer , New Delhi 7 months ago 57 3 Permalink Report Abuse || 4 Pretty good Got this laptop under 29k and it was a good deal one of the best options within this price READ MORE Flipkart Customer Certified Buyer , New Delhi 6 months ago 18 1 Permalink Report Abuse || 4 Really Nice Yesterday I received this laptop... Overall laptop is really good in this budget. It comes with Mc Afee antivirus with Ms office... really suitable for the students. Although it needs improvement in battery backup READ MORE Aayush Kaushal Certified Buyer , Ludhiana 7 months ago 10 1 Permalink Report Abuse || 4 Nice product Nice READ MORE Mukesh kumar Certified Buyer , Gurgaon May, 2024 40 14 Permalink Report Abuse || 3 Nice Flipkart specification not correct No fingerprint scanner Clock speed 1.2 ghz not 4.4 Battery backup upto 3 hr READ MORE Anoop  s s Certified Buyer , Neyyattinkara Aug, 2024 28 8 Permalink Report Abuse || 4 Worth the money Overall Laptop is very good, but 1 wrong information is given in specification that clock speed is up to 4.4 ghz, that is only 1.4 ghz. READ MORE Flipkart Customer Certified Buyer , Faridabad 5 months ago 3 0 Permalink Report Abuse"
